# Planning only. Never loaded by catalog.cjs. No answer prose or approval.
# batch|id|domain|concept|canonical question|intent|priority|NTM need|surfaces|required treatment|source type|time sensitivity|reuse existing answers
1|balance-sheet|fundamentals|new:balance-sheet|Vad visar en balansräkning?|definition|P1|Explain stock-versus-flow inputs|Research,Academy|example;limitation|ACCOUNTING|stable;method updates|debt,revenue
1|income-statement|fundamentals|new:income-statement|Vad visar en resultaträkning?|definition|P1|Orient report reading before valuation|Research,Academy|example;limitation|ACCOUNTING|stable;method updates|revenue,margins,eps
1|cash-flow-statement|fundamentals|new:cash-flow-statement|Vad visar en kassaflödesanalys?|definition|P1|Explain cash source before FCF use|Research,Academy|example;limitation|ACCOUNTING|stable;method updates|fcf
1|profit-versus-cash|fundamentals|new:cash-flow-statement|Varför kan vinst och kassaflöde skilja sig?|comparison|P1|Stop interchangeable metric inputs|Research,Public Research|comparison;example;limitation|ACCOUNTING|stable;method updates|revenue,fcf
1|capex|fundamentals|new:capex|Vad betyder CapEx?|definition|P1|Explain FCF investment input|Research,Academy|example;limitation|ACCOUNTING|stable;method updates|fcf
1|working-capital|fundamentals|new:working-capital|Hur kan rörelsekapital påverka kassaflödet?|interpretation|P1|Explain cash conversion changes|Research,Public Research|example;limitation|ACCOUNTING|stable;method updates|fcf,revenue
1|reported-adjusted|fundamentals|eps|Vad skiljer rapporterad från justerad vinst?|comparison|P1|Compare basis before entering EPS|Research,Valuation,Academy|comparison;example;limitation|NON_GAAP|stable;issuer definitions vary|eps,eps-comparison
1|fcf-limitations|fundamentals|fcf|När blir en jämförelse av fritt kassaflöde missvisande?|limitation|P1|Surface incompatible FCF definitions|Research,Public Research|example;limitation|NON_GAAP|stable;issuer definitions vary|fcf
1|pe-interpretation|valuation|pe|Vad behöver jag kontrollera innan jag tolkar ett P/E-tal?|interpretation|P1|Answer bounded interpretation gap without price verdict|Valuation,Research|example;limitation|VALUATION|stable;assumptions dated|pe,forward,debt
1|pe-losses|valuation|pe|Varför är P/E svårt att använda vid negativ eller nära noll vinst?|limitation|P1|Explain unsuitable denominator separately|Valuation,Research|example;limitation|VALUATION|stable|pe,eps
1|ps|valuation|new:ps|Vad betyder P/S?|definition|P1|Prepare the missing sales-multiple comparison|Valuation,Research|formula example;limitation|VALUATION|stable|revenue,market-cap
1|pe-versus-ps|valuation|pe|Vad skiljer P/E från P/S?|comparison|P1|Close explicit comparison abstention gap|Valuation,Research|comparison;example;limitation|VALUATION|stable|pe,revenue
1|fact-assumption|research|thesis|Hur skiljer jag fakta från antaganden i en investeringstes?|process|P1|Improve provenance of authored reports|Research,Public Research|example;limitation|NTM_METHOD|stable;workflow changes|thesis
1|scenario-design|research|thesis|Hur bygger jag jämförbara bear-, base- och bull-scenarier?|process|P1|Make existing scenario fields inspectable|Research,Valuation|example;limitation|NTM_METHOD|stable;assumptions dated|thesis,forward
1|falsification|research|thesis|Hur formulerar jag ett motbevis som går att följa upp?|application|P1|Make existing invalidation fields useful|Research,Public Research|example;limitation|NTM_METHOD|stable;workflow changes|thesis
1|source-provenance|research|thesis|Vilka källuppgifter behöver jag spara för ett analysantagande?|process|P1|Improve source/date/period consistency|Research,Public Research|example;limitation|NTM_METHOD|stable;workflow changes|thesis,eps-comparison
1|guidance-consensus|earnings|outlook|Vad skiljer bolagets guidance från analytikerkonsensus?|comparison|P1|Prevent forecast provenance confusion|Research,Public Research|comparison;example;limitation|ESTIMATES|stable;method definitions vary|guidance,estimates
1|earnings-surprise|earnings|earnings|Hur jämför jag rapporterat utfall med ett daterat estimat?|calculation|P1|Explain same-basis surprise comparison|Research,Academy|formula example;limitation|ESTIMATES|stable;input dates required|earnings,estimates,eps-comparison
1|ttm-construction|earnings|ttm|Hur bygger jag TTM utan att dubbelräkna ackumulerade kvartal?|calculation|P1|Prevent manual period input errors|Research,Valuation|formula example;limitation|ACCOUNTING|stable;fiscal period scope|ttm,eps
1|estimate-age|earnings|outlook|Hur bedömer jag om ett estimat är för gammalt för min jämförelse?|process|P1|Explain dated source revisions|Research,Public Research|example;limitation|ESTIMATES|time-sensitive inputs;stable method|estimates,guidance
2|nominal-real|returns|return|Vad skiljer nominell från real avkastning?|comparison|P1|Explain purchasing power in savings scenarios|Returns,Savings,FIRE|comparison;formula example;limitation|REGULATOR|stable|cagr,inflation
2|arithmetic-geometric|returns|cagr|Varför skiljer sig medelavkastning från CAGR?|comparison|P1|Prevent average-rate misuse|Returns,Compounding,Academy|comparison;formula example;limitation|MATH_METHOD|stable|cagr,compounding
2|drawdown|returns|new:drawdown|Vad betyder drawdown?|definition|P1|Explain loss path alongside return|Research,Academy|formula example;limitation|RISK_METHOD|stable|cagr,diversification
2|loss-recovery|returns|new:drawdown|Hur stor uppgång krävs för att återhämta en procentuell förlust?|calculation|P1|Make leverage downside understandable|Leverage,Returns|formula example;limitation|MATH_METHOD|stable|compounding
2|volatility-risk|returns|new:volatility|Är volatilitet samma sak som risken att förlora pengar permanent?|comparison|P1|Avoid a single risk proxy|Research,Academy|comparison;example;limitation|RISK_METHOD|stable|diversification,thesis
2|concentration|returns|diversification|Hur bedömer jag koncentration utöver antalet innehav?|application|P1|Extend existing diversification to inspection|Research,Purchase|example;limitation|REGULATOR|stable|diversification
